IncidentName,CalendarYear,POOJurisdictionalUnit,Fire Type Protection Type,Fire Type,Fire Cause,Size Class,IncidentSize,FireDiscoveryDateTime
COUGAR,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,1,8/22/1978
CUB,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/27/1978
EAST,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/29/1978
FERN,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/2/1978
FORD,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/2/1978
FRANK,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,2,7/25/1978
GALLATIN,1978,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,6,7/25/1978
GRIZZLY,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/16/1978
GROUSE,1978,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/17/1978
HOLE,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/26/1978
JASPER,1978,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/16/1978
MATCH,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/10/1978
MESA,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,6/9/1978
MYSTIC,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/24/1978
NOTCH,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,8/11/1978
OXBOW,1978,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/9/1978
POWERLINE,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/10/1978
RIVERSIDE,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/22/1978
SAGE,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,1,8/7/1978
TERRACE,1978,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,2,7/18/1978
AGATE,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,1,7/19/1979
ANTELOPE,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/17/1979
BEAVER HRT,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,7174,7/20/1979
BLACK,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,6/13/1979
BRIDGE,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/18/1979
CARTER,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/20/1979
CLEAR,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/7/1979
COOKE,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/20/1979
CREEK,1979,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/30/1979
DEEP,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/11/1979
DELACY,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/8/1979
EVERTS,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/5/1979
FAIRY,1979,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/10/1979
